iter	Accuracy	MultiClass
0	0.4678714859	1.09557532
1	0.4718875502	1.09261606
2	0.4829317269	1.08957782
3	0.4804216867	1.08681508
4	0.4703815261	1.084168181
5	0.4698795181	1.081612899
6	0.4743975904	1.079114823
7	0.4713855422	1.076702576
8	0.4698795181	1.07444229
9	0.468875502	1.072094561
10	0.4658634538	1.06992848
11	0.4703815261	1.067645882
12	0.4698795181	1.065542586
13	0.4703815261	1.063478387
14	0.4723895582	1.06154045
15	0.4738955823	1.05940727
16	0.4718875502	1.057576812
17	0.4698795181	1.055719536
18	0.4713855422	1.054053068
19	0.4769076305	1.05227966
20	0.4764056225	1.050508622
21	0.4759036145	1.048932285
22	0.4754016064	1.047394805
23	0.4764056225	1.045836944
24	0.4779116466	1.044366948
25	0.4799196787	1.042912564
26	0.4804216867	1.041484385
27	0.4824297189	1.040040128
28	0.4824297189	1.038814586
29	0.4809236948	1.03763326
30	0.4814257028	1.036302814
31	0.4829317269	1.035076938
32	0.4824297189	1.033910438
33	0.4819277108	1.032799229
34	0.4819277108	1.031654805
35	0.4819277108	1.03049175
36	0.4814257028	1.02938389
37	0.4834337349	1.0283325
38	0.4834337349	1.027246665
39	0.4829317269	1.026291026
40	0.483935743	1.025306548
41	0.483935743	1.024335911
42	0.483935743	1.023363832
43	0.4834337349	1.022487963
44	0.483935743	1.021559147
45	0.483935743	1.020670695
46	0.4854417671	1.019715076
47	0.4859437751	1.018846221
48	0.483935743	1.018083678
49	0.484939759	1.017341731
50	0.4854417671	1.01658482
51	0.4854417671	1.015953531
52	0.4854417671	1.015288376
53	0.4869477912	1.014389051
54	0.4869477912	1.013736602
55	0.4889558233	1.013087807
56	0.4894578313	1.01247572
57	0.4889558233	1.011829277
58	0.4884538153	1.011247005
59	0.4889558233	1.010637179
60	0.4899598394	1.009892027
61	0.4899598394	1.009371615
62	0.4894578313	1.008888678
63	0.4889558233	1.008347201
64	0.4889558233	1.007809
65	0.4894578313	1.007316075
66	0.4894578313	1.006800436
67	0.4899598394	1.006337878
68	0.4884538153	1.005799324
69	0.4894578313	1.00526981
70	0.4884538153	1.004441607
71	0.4894578313	1.003972139
72	0.4909638554	1.003460715
73	0.4914658635	1.003104417
74	0.4909638554	1.002655793
75	0.4924698795	1.002313799
76	0.4919678715	1.001830756
77	0.4934738956	1.00133351
78	0.4924698795	1.000899642
79	0.4929718876	1.000579257
80	0.4939759036	1.000137858
81	0.4939759036	0.9997691647
82	0.4929718876	0.9993358537
83	0.4929718876	0.9989085232
84	0.4939759036	0.998545757
85	0.4934738956	0.9981541795
86	0.4939759036	0.9977623754
87	0.4964859438	0.9973202683
88	0.4944779116	0.9969645902
89	0.4949799197	0.9965305441
90	0.4949799197	0.9962060239
91	0.4949799197	0.9959584229
92	0.4954819277	0.9955649685
93	0.4979919679	0.9951775771
94	0.4974899598	0.9948489726
95	0.4969879518	0.9945332544
96	0.4969879518	0.9942011094
97	0.4964859438	0.9939118202
98	0.4959839357	0.9935520845
99	0.4974899598	0.9933064813
100	0.4964859438	0.9929997647
101	0.4964859438	0.99264703
102	0.4984939759	0.9924079299
103	0.4984939759	0.9920429744
104	0.4974899598	0.9917823899
105	0.4989959839	0.9913914077
106	0.5	0.9909882306
107	0.5010040161	0.9907148815
108	0.5015060241	0.9903120157
109	0.5	0.990013003
110	0.5020080321	0.9895966363
111	0.5035140562	0.9894140006
112	0.5035140562	0.9891957995
113	0.5040160643	0.9890659975
114	0.5040160643	0.9886686059
115	0.5040160643	0.9883372221
116	0.5040160643	0.98809904
117	0.5040160643	0.9879102292
118	0.5045180723	0.9875447469
119	0.5050200803	0.9873129478
120	0.5040160643	0.9871213934
121	0.5040160643	0.9868258976
122	0.5045180723	0.9867052029
123	0.5040160643	0.9864373747
124	0.5050200803	0.9861685642
125	0.5060240964	0.9859243592
126	0.5070281124	0.9857376346
127	0.5075301205	0.9855695098
128	0.5070281124	0.9853078957
129	0.5065261044	0.985073364
130	0.5065261044	0.9849005126
131	0.5075301205	0.9846016362
132	0.5075301205	0.9843878208
133	0.5090361446	0.9842273958
134	0.5095381526	0.9840247571
135	0.5080321285	0.9838507769
136	0.5085341365	0.9836038828
137	0.5095381526	0.9832152454
138	0.5100401606	0.9829578275
139	0.5105421687	0.9827275035
140	0.5110441767	0.982486559
141	0.5100401606	0.9822541186
142	0.5110441767	0.9819882112
143	0.5125502008	0.9818052996
144	0.5130522088	0.9816498307
145	0.5125502008	0.9814034081
146	0.5135542169	0.9811977786
147	0.5145582329	0.9810613471
