iter	Passed	Remaining
0	96	96560
1	99	49815
2	103	34319
3	107	26716
4	111	22123
5	114	18962
6	118	16787
7	121	15064
8	125	13770
9	129	12790
10	133	11998
11	136	11271
12	139	10623
13	143	10079
14	146	9601
15	149	9207
16	153	8875
17	157	8599
18	160	8300
19	164	8038
20	167	7815
21	171	7601
22	174	7400
23	177	7216
24	180	7046
25	183	6888
26	187	6742
27	190	6613
28	194	6498
29	197	6387
30	201	6283
31	204	6183
32	208	6097
33	211	6020
34	215	5946
35	218	5861
36	222	5787
37	225	5713
38	230	5670
39	234	5620
40	237	5562
41	241	5502
42	245	5455
43	248	5397
44	251	5345
45	255	5298
46	259	5260
47	263	5222
48	266	5176
49	270	5134
50	273	5088
51	277	5060
52	280	5018
53	284	4976
54	287	4941
55	290	4904
56	294	4874
57	298	4840
58	301	4810
59	305	4779
60	308	4749
61	312	4723
62	316	4700
63	319	4676
64	323	4656
65	327	4629
66	330	4603
67	333	4577
68	337	4553
69	340	4529
70	344	4505
71	347	4482
72	351	4460
73	354	4439
74	358	4418
75	361	4400
76	365	4383
77	369	4365
78	372	4346
79	376	4328
80	380	4311
81	383	4298
82	387	4282
83	390	4262
84	394	4245
85	397	4227
86	401	4210
87	404	4196
88	408	4181
89	411	4165
90	415	4148
91	418	4133
92	422	4116
93	425	4100
94	428	4083
95	432	4070
96	435	4057
97	439	4043
98	442	4030
99	446	4019
100	450	4007
101	454	3998
102	457	3985
103	461	3972
104	465	3963
105	468	3955
106	472	3944
107	476	3931
108	479	3918
109	483	3909
110	486	3894
111	489	3879
112	492	3867
113	496	3858
114	500	3847
115	503	3838
116	507	3828
117	510	3816
118	514	3807
119	517	3797
120	521	3786
121	524	3776
122	528	3770
123	532	3760
124	535	3751
125	539	3741
126	542	3731
127	546	3722
128	550	3714
129	553	3703
130	557	3695
131	560	3688
132	565	3683
133	568	3676
134	572	3667
135	576	3664
136	580	3657
137	584	3650
138	588	3643
139	592	3638
140	596	3631
141	599	3622
142	603	3614
143	606	3606
144	610	3598
145	613	3589
146	617	3582
147	621	3577
148	624	3568
149	628	3559
150	631	3551
151	635	3544
152	639	3540
153	642	3532
154	646	3523
155	649	3516
156	653	3509
157	657	3502
158	660	3495
159	664	3488
160	667	3480
161	671	3473
162	675	3466
163	678	3460
164	682	3454
165	686	3448
166	689	3441
167	693	3434
168	696	3427
169	700	3420
170	704	3413
171	707	3406
172	711	3399
173	714	3392
174	718	3384
175	721	3378
176	725	3371
177	728	3366
178	732	3359
179	735	3352
180	739	3347
181	743	3342
182	747	3336
183	750	3329
184	754	3322
185	757	3316
186	761	3309
187	765	3304
188	768	3297
189	772	3291
190	775	3285
191	779	3280
192	783	3276
193	787	3271
194	790	3264
195	794	3258
196	798	3255
197	802	3248
198	805	3243
199	809	3236
200	812	3230
201	816	3225
202	820	3219
203	823	3213
204	827	3208
205	830	3202
206	834	3197
207	837	3190
208	841	3185
209	845	3181
210	849	3176
211	853	3170
212	856	3164
213	860	3159
214	863	3153
215	867	3146
216	870	3142
217	874	3136
218	877	3131
219	881	3125
220	885	3120
221	888	3114
222	892	3109
223	896	3104
224	899	3099
225	903	3094
226	907	3090
227	911	3085
228	914	3080
229	918	3075
230	923	3073
231	926	3067
232	930	3062
233	933	3056
234	937	3050
235	940	3044
236	944	3040
237	947	3033
238	950	3027
239	955	3024
240	958	3019
241	962	3014
242	966	3010
243	970	3007
244	974	3001
245	977	2997
246	981	2991
247	985	2987
248	988	2982
249	992	2976
250	995	2970
251	999	2966
252	1003	2961
253	1006	2956
254	1009	2950
255	1013	2945
256	1017	2941
257	1021	2936
258	1024	2931
259	1027	2925
260	1031	2920
261	1034	2915
262	1038	2910
263	1041	2904
264	1045	2899
265	1048	2894
266	1052	2889
267	1055	2883
268	1059	2878
269	1062	2873
270	1066	2870
271	1070	2865
272	1074	2861
273	1078	2857
274	1082	2853
275	1085	2848
276	1089	2844
277	1093	2840
278	1097	2836
279	1101	2831
280	1104	2825
281	1108	2821
282	1111	2815
283	1115	2811
284	1118	2806
285	1122	2801
286	1125	2797
287	1129	2792
288	1132	2787
289	1136	2782
290	1140	2778
291	1143	2772
292	1147	2767
293	1150	2763
294	1154	2758
295	1157	2754
296	1161	2749
297	1165	2744
298	1168	2740
299	1172	2734
300	1175	2730
301	1179	2726
302	1183	2722
303	1187	2717
304	1191	2714
305	1194	2709
306	1198	2705
307	1202	2701
308	1206	2697
309	1209	2692
310	1213	2688
311	1217	2684
312	1221	2680
313	1224	2675
314	1228	2670
315	1231	2666
316	1235	2661
317	1238	2657
318	1242	2652
319	1246	2647
320	1249	2643
321	1253	2639
322	1257	2635
323	1261	2631
324	1264	2626
325	1269	2623
326	1272	2619
327	1276	2614
328	1279	2610
329	1283	2605
330	1287	2601
331	1290	2597
332	1294	2593
333	1297	2588
334	1301	2584
335	1306	2581
336	1310	2578
337	1314	2573
338	1317	2569
339	1321	2565
340	1325	2561
